	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	tag_display	i	keyword
0	1	本科及以上	5-10年	面议	2020年04月26日	服务设计师		滴滴	https://www.liepin.com/job/1927143593.shtml	https://www.liepin.com/company/8076624/	独角兽	56	服务设计
1	2	本科及以上	1-3年	13-21k·12薪	2020年04月21日	服务设计专员(J191008011)	杭州	滴滴	https://www.liepin.com/job/1923958301.shtml	https://www.liepin.com/company/8076624/	独角兽	56	服务设计
2	3	大专及以上	3-5年	面议	2020年04月18日	服务设计专家(J200323023)		滴滴	https://www.liepin.com/job/1927546565.shtml	https://www.liepin.com/company/8076624/	独角兽	56	服务设计
3	4	大专及以上	3-5年	面议	2020年04月16日	高级服务设计专员(J200323023)		滴滴	https://www.liepin.com/job/1927513431.shtml	https://www.liepin.com/company/8076624/	独角兽	56	服务设计
4	5	本科及以上	5-10年	15-21k·12薪	2020年04月01日	服务设计专家（知识管理）(J200331006)		滴滴	https://www.liepin.com/job/1927149735.shtml	https://www.liepin.com/company/8076624/	独角兽	56	服务设计
5	6	本科及以上	5-10年	面议	2020年03月30日	服务设计师(J191202021)		滴滴	https://www.liepin.com/job/1927067573.shtml	https://www.liepin.com/company/8076624/	独角兽	56	服务设计
6	7	本科及以上	5-10年	面议	2020年03月26日	服务架构设计主任工程师-797997829800	西安	华为	https://www.liepin.com/job/1926508065.shtml	https://www.liepin.com/company/954482/	独角兽	56	服务设计
7	8	本科及以上	5-10年	27-33k·12薪	2020年03月25日	服务设计专家 （体验优化方向）(J200323019)		滴滴	https://www.liepin.com/job/1926942519.shtml	https://www.liepin.com/company/8076624/	独角兽	56	服务设计
8	9	大专及以上	3-5年	14-21k·12薪	2020年03月24日	高级服务设计专员（英文）(J200223001)		滴滴	https://www.liepin.com/job/1926476581.shtml	https://www.liepin.com/company/8076624/	独角兽	56	服务设计
9	10	本科及以上	5-10年	17-29k·12薪	2020年03月18日	服务设计专家(J200212003)	杭州	滴滴	https://www.liepin.com/job/1926052945.shtml	https://www.liepin.com/company/8076624/	独角兽	56	服务设计
10	11	本科及以上	3-5年	面议	2020年02月28日	高级服务设计专员(J200223001)		滴滴	https://www.liepin.com/job/1926216795.shtml	https://www.liepin.com/company/8076624/	独角兽	56	服务设计
11	12	本科及以上	5-10年	30-45k·15薪	2019年11月22日	服务体验设计高级经理	广州	广州小鹏汽车科技有限公司	https://www.liepin.com/job/1924890823.shtml	https://www.liepin.com/company/8908817/	独角兽	56	服务设计
12	13	大专及以上	5-10年	面议	2020年04月27日	数据架构师（上海）	上海	数梦工场	https://www.liepin.com/job/1927792655.shtml	https://www.liepin.com/company/8527277/	独角兽	56	服务设计
13	14	统招本科	3-5年	15-30k·12薪	2020年04月28日	华为云Web前端开发工程师	深圳	华为	https://www.liepin.com/job/1927841233.shtml	https://www.liepin.com/company/954482/	独角兽	56	服务设计
14	15	统招本科	3-5年	15-30k·12薪	2020年04月28日	华为云软件开发工程师（后端）	深圳-坂田	华为	https://www.liepin.com/job/1927840929.shtml	https://www.liepin.com/company/954482/	独角兽	56	服务设计
15	16	学历不限	5-10年	25-30k·12薪	2020年04月28日	IT总监/CIO	上海	沪江	https://www.liepin.com/job/1927063783.shtml	https://www.liepin.com/company/1606138/	独角兽	56	服务设计
16	17	统招本科	3-5年	面议	2020年04月28日	PHP高级工程师	长沙-岳麓区	蜜莱坞网络	https://www.liepin.com/job/1927004875.shtml	https://www.liepin.com/company/8488417/	独角兽	56	服务设计
17	18	统招本科	5-10年	35-60k·18薪	2020年04月28日	ebs技术顾问	深圳	华为	https://www.liepin.com/job/1925685005.shtml	https://www.liepin.com/company/954482/	独角兽	56	服务设计
18	19	本科及以上	5-10年	25-45k·15薪	2020年04月28日	散热工程师	深圳-南山区	上海寒武纪信息科技有限公司	https://www.liepin.com/job/1925432931.shtml	https://www.liepin.com/company/9320629/	独角兽	56	服务设计
19	20	本科及以上	经验不限	10-20k·14薪	2020年04月27日	体验设计师	苏州	同程艺龙	https://www.liepin.com/job/1924219083.shtml	https://www.liepin.com/company/3698161/	独角兽	56	服务设计
20	21	本科及以上	5-10年	60-80k·12薪	2020年04月27日	基础架构经理	广州	虎牙直播	https://www.liepin.com/job/1926512211.shtml	https://www.liepin.com/company/9287281/	独角兽	56	服务设计
21	22	学历不限	3-5年	15-30k·12薪	2020年04月27日	后台开发	上海-陆家嘴	蜻蜓FM	https://www.liepin.com/job/1912619943.shtml	https://www.liepin.com/company/3523684/	独角兽	56	服务设计
22	23	本科及以上	5-10年	30-40k·16薪	2020年04月27日	Linux C/C++资深开发工程师	上海-张江	喜马拉雅	https://www.liepin.com/job/1927817893.shtml	https://www.liepin.com/company/8449626/	独角兽	56	服务设计
23	24	统招本科	3-5年	25-50k·12薪	2020年04月27日	DevOps工程师	深圳	华为	https://www.liepin.com/job/1927797047.shtml	https://www.liepin.com/company/954482/	独角兽	56	服务设计
24	25	本科及以上	5-10年	10-20k·15薪	2020年04月27日	硬件适配工程师-20091G01228	无锡-蠡湖	华云数据	https://www.liepin.com/job/1927071113.shtml	https://www.liepin.com/company/7966960/	独角兽	56	服务设计
25	26	大专及以上	5-10年	15-30k·12薪	2020年04月27日	高级java开发工程师		众安在线财产保险	https://www.liepin.com/job/1914440742.shtml	https://www.liepin.com/company/7962446/	独角兽	56	服务设计
26	27	本科及以上	3-5年	15-18k·12薪	2020年04月26日	Java游戏服务器开发工程师	广州	虎牙直播	https://www.liepin.com/job/1919012193.shtml	https://www.liepin.com/company/9287281/	独角兽	56	服务设计
27	28	学历不限	经验不限	12-25k·12薪	2020年04月26日	Java游戏服务器开发工程师	广州-番禺区	虎牙直播	https://www.liepin.com/job/1917651407.shtml	https://www.liepin.com/company/9287281/	独角兽	56	服务设计
28	29	本科及以上	5-10年	25-50k·15薪	2020年04月26日	Linux系统工程师	深圳-科技园	SenseTime（商汤集团）	https://www.liepin.com/job/1927790449.shtml	https://www.liepin.com/company/8349238/	独角兽	56	服务设计
29	30	统招本科	10年以上	30-40k·18薪	2020年04月26日	建筑设计经理	东莞	华为	https://www.liepin.com/job/1927663121.shtml	https://www.liepin.com/company/954482/	独角兽	56	服务设计
30	31	统招本科	10年以上	30-40k·18薪	2020年04月26日	建筑设计经理	深圳	华为	https://www.liepin.com/job/1927663119.shtml	https://www.liepin.com/company/954482/	独角兽	56	服务设计
31	32	本科及以上	3-5年	25-33k·12薪	2020年04月26日	运维平台研发工程师(J200409018)		滴滴	https://www.liepin.com/job/1927347599.shtml	https://www.liepin.com/company/8076624/	独角兽	56	服务设计
32	33	学历不限	3-5年	8-13k·12薪	2020年04月26日	应用工程师XT-SH-202018	上海-张江	奥比中光	https://www.liepin.com/job/1927157639.shtml	https://www.liepin.com/company/8055105/	独角兽	56	服务设计
33	34	本科及以上	3-5年	面议	2020年04月26日	区块链系统工程师-798087749942	深圳	华为	https://www.liepin.com/job/1925507417.shtml	https://www.liepin.com/company/954482/	独角兽	56	服务设计
34	35	本科及以上	3-5年	20-50k·12薪	2020年04月26日	JAVA 高级开发工程师 (MJ000571)	广州	虎牙直播	https://www.liepin.com/job/1920461701.shtml	https://www.liepin.com/company/9287281/	独角兽	56	服务设计
35	36	本科及以上	1-3年	15-30k·12薪	2020年04月26日	数据产品经理	广州-番禺区	虎牙直播	https://www.liepin.com/job/1917787759.shtml	https://www.liepin.com/company/9287281/	独角兽	56	服务设计
36	37	本科及以上	1-3年	15-30k·15薪	2020年04月26日	数据产品经理	广州	虎牙直播	https://www.liepin.com/job/1917786573.shtml	https://www.liepin.com/company/9287281/	独角兽	56	服务设计
37	38	本科及以上	经验不限	15-20k·12薪	2020年04月25日	5G软件开发工程师	西安-雁塔区	华为	https://www.liepin.com/job/1926620249.shtml	https://www.liepin.com/company/954482/	独角兽	56	服务设计
38	39	本科及以上	5-10年	面议	2020年04月24日	资深解决方案架构师B-797997819836	北京	华为	https://www.liepin.com/job/1926498147.shtml	https://www.liepin.com/company/954482/	独角兽	56	服务设计
39	40	本科及以上	5-10年	面议	2020年04月24日	高级解决方案架构师B-797997819829	北京	华为	https://www.liepin.com/job/1926451631.shtml	https://www.liepin.com/company/954482/	独角兽	56	服务设计
