	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	tag_display	i	keyword
0	1	本科及以上	10年以上	面议	2020年04月28日	用户体验中心总经理（含客服）	南京	苏宁易购	https://www.liepin.com/job/1927027049.shtml	https://www.liepin.com/company/2051657/	中国500强	34	用户体验
1	2	学历不限	5-10年	面议	2020年04月28日	文娱影业-交互设计师-淘票票	杭州	阿里巴巴	https://www.liepin.com/job/1927430601.shtml	https://www.liepin.com/company/1072424/	中国500强	34	用户体验
2	3	本科及以上	3-5年	面议	2020年04月28日	资深交互设计师-网易云音乐-音乐事业部001	杭州	网易集团	https://www.liepin.com/job/1926633589.shtml	https://www.liepin.com/company/5964833/	中国500强	34	用户体验
3	4	学历不限	经验不限	20-40k·15薪	2020年04月27日	高级产品经理（用户体验）	广州	网易集团	https://www.liepin.com/job/1927491871.shtml	https://www.liepin.com/company/5964833/	中国500强	34	用户体验
4	5	本科及以上	3-5年	10-20k·12薪	2020年04月27日	用户体验	北京	小米	https://www.liepin.com/job/1927352539.shtml	https://www.liepin.com/company/2174886/	中国500强	34	用户体验
5	6	本科及以上	5-10年	面议	2020年04月27日	15571-高级用户体验设计师（深圳）	深圳	腾讯	https://www.liepin.com/job/1927273491.shtml	https://www.liepin.com/company/7983148/	中国500强	34	用户体验
6	7	本科及以上	3-5年	面议	2020年04月27日	30359-欧拉-用户体验设计师（深圳）	深圳	腾讯	https://www.liepin.com/job/1926238757.shtml	https://www.liepin.com/company/7983148/	中国500强	34	用户体验
7	8	本科及以上	3-5年	面议	2020年04月27日	EC-交互设计师	深圳	腾讯	https://www.liepin.com/job/1927273669.shtml	https://www.liepin.com/company/7983148/	中国500强	34	用户体验
8	9	本科及以上	3-5年	面议	2020年04月27日	18425-交互设计师	深圳	腾讯	https://www.liepin.com/job/1926713509.shtml	https://www.liepin.com/company/7983148/	中国500强	34	用户体验
9	10	本科及以上	3-5年	面议	2020年04月27日	22989-高级交互设计师	深圳	腾讯	https://www.liepin.com/job/1927326515.shtml	https://www.liepin.com/company/7983148/	中国500强	34	用户体验
10	11	本科及以上	5-10年	面议	2020年04月27日	28481-资深交互设计师	深圳	腾讯	https://www.liepin.com/job/1926284469.shtml	https://www.liepin.com/company/7983148/	中国500强	34	用户体验
11	12	学历不限	5-10年	面议	2020年04月27日	数字供应链事业部-高级体验设计专家-UED	杭州	阿里巴巴	https://www.liepin.com/job/1927662027.shtml	https://www.liepin.com/company/1072424/	中国500强	34	用户体验
12	13	本科及以上	经验不限	面议	2020年04月27日	UE4引擎开发工程师	广州	网易集团	https://www.liepin.com/job/1926484341.shtml	https://www.liepin.com/company/5964833/	中国500强	34	用户体验
13	14	本科及以上	5-10年	面议	2020年04月27日	26699-智慧零售高级交互设计师	深圳	腾讯	https://www.liepin.com/job/1926521047.shtml	https://www.liepin.com/company/7983148/	中国500强	34	用户体验
