	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	tag_display	i	keyword
0	1	学历不限	5-10年	面议	2020年04月24日	集团客户体验事业部-客户服务专家-商家服务赋能-FBT业体验设计&拓展	杭州	阿里巴巴	https://www.liepin.com/job/1927195813.shtml	https://www.liepin.com/company/1072424/	中国500强	36	服务设计
1	2	本科及以上	5-10年	面议	2019年10月15日	31677-腾讯地图位置服务视觉设计师（北京）	北京	腾讯	https://www.liepin.com/job/1923228925.shtml	https://www.liepin.com/company/7983148/	中国500强	36	服务设计
2	3	统招本科	1-3年	15-20k·16薪	2020年04月28日	游戏运维工程师(SRE)	广州-天河区	网易集团	https://www.liepin.com/job/1921591667.shtml	https://www.liepin.com/company/5964833/	中国500强	36	服务设计
3	4	本科及以上	3-5年	20-40k·16薪	2020年04月28日	资深研发工程师	广州	网易集团	https://www.liepin.com/job/1926577113.shtml	https://www.liepin.com/company/5964833/	中国500强	36	服务设计
4	5	大专及以上	5-10年	12-16k·13薪	2020年04月28日	系统架构师G00143	成都	通威股份	https://www.liepin.com/job/1926050287.shtml	https://www.liepin.com/company/682357/	中国500强	36	服务设计
5	6	本科及以上	经验不限	15-35k·16薪	2020年04月28日	游戏服务端开发工程师（大话西游免费版3D）	广州	网易集团	https://www.liepin.com/job/1927836671.shtml	https://www.liepin.com/company/5964833/	中国500强	36	服务设计
6	7	本科及以上	经验不限	面议	2020年04月28日	手游服务端开发工程师-大话事业部200	广州	网易集团	https://www.liepin.com/job/1927836145.shtml	https://www.liepin.com/company/5964833/	中国500强	36	服务设计
7	8	本科及以上	5-10年	10-22k·12薪	2020年04月28日	景观工程师	苏州-苏锦	禹洲地产股份有限公司	https://www.liepin.com/job/1914523719.shtml	https://www.liepin.com/company/2245242/	中国500强	36	服务设计
8	9	本科及以上	5-10年	面议	2020年04月27日	29912-视频理解算法后台开发	北京	腾讯	https://www.liepin.com/job/1926124067.shtml	https://www.liepin.com/company/7983148/	中国500强	36	服务设计
9	10	本科及以上	5-10年	面议	2020年04月27日	31871-结构设计工程师	深圳	腾讯	https://www.liepin.com/job/1926238727.shtml	https://www.liepin.com/company/7983148/	中国500强	36	服务设计
10	11	本科及以上	1-3年	面议	2020年04月27日	TME-全民K歌国际版后台开发工程师	深圳	腾讯	https://www.liepin.com/job/1925474691.shtml	https://www.liepin.com/company/7983148/	中国500强	36	服务设计
11	12	本科及以上	3-5年	面议	2020年04月27日	15575-天美L1预研手游-后台开发高级工程师（成都）	成都	腾讯	https://www.liepin.com/job/1927701137.shtml	https://www.liepin.com/company/7983148/	中国500强	36	服务设计
12	13	本科及以上	3-5年	面议	2020年04月27日	24012-游戏后台开发（深圳）	深圳	腾讯	https://www.liepin.com/job/1927291745.shtml	https://www.liepin.com/company/7983148/	中国500强	36	服务设计
13	14	本科及以上	3-5年	面议	2020年04月27日	15575-《王者荣耀》-高级后台开发工程师（成都）	成都	腾讯	https://www.liepin.com/job/1927273727.shtml	https://www.liepin.com/company/7983148/	中国500强	36	服务设计
14	15	本科及以上	3-5年	面议	2020年04月27日	26564-后台开发工程师(深圳）	深圳	腾讯	https://www.liepin.com/job/1926051755.shtml	https://www.liepin.com/company/7983148/	中国500强	36	服务设计
