	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	tag_display	i	keyword
0	1	统招本科	经验不限	7-10k·14薪	2020年04月28日	UI设计师	福州	星网锐捷	https://www.liepin.com/job/1927528783.shtml	https://www.liepin.com/company/885628/	上市公司	21	UI设计
1	2	本科及以上	3-5年	面议	2020年04月28日	美团平台-电商UI设计师		美团点评	https://www.liepin.com/job/1927245721.shtml	https://www.liepin.com/company/2036768/	上市公司	21	UI设计
2	3	本科及以上	1-3年	面议	2020年04月28日	美团平台-游戏UI设计师		美团点评	https://www.liepin.com/job/1927055207.shtml	https://www.liepin.com/company/2036768/	上市公司	21	UI设计
3	4	本科及以上	5-10年	面议	2020年04月28日	UI设计-金融平台		美团点评	https://www.liepin.com/job/1927053187.shtml	https://www.liepin.com/company/2036768/	上市公司	21	UI设计
4	5	本科及以上	5-10年	面议	2020年04月28日	UI设计-美团App		美团点评	https://www.liepin.com/job/1926441449.shtml	https://www.liepin.com/company/2036768/	上市公司	21	UI设计
5	6	本科及以上	1-3年	12-20k·12薪	2020年04月28日	UI设计师	上海	银科控股	https://www.liepin.com/job/1926041297.shtml	https://www.liepin.com/company/8582797/	上市公司	21	UI设计
6	7	本科及以上	3-5年	面议	2020年04月28日	UI平面设计主管	上海-长宁区	安正时尚	https://www.liepin.com/job/1926027725.shtml	https://www.liepin.com/company/943791/	上市公司	21	UI设计
7	8	本科及以上	3-5年	面议	2020年04月28日	UI平面设计师	上海-长宁区	安正时尚	https://www.liepin.com/job/1926027699.shtml	https://www.liepin.com/company/943791/	上市公司	21	UI设计
8	9	本科及以上	经验不限	14-20k·13薪	2020年04月28日	UI设计师（视觉组） (MJ002644)	广州	欢聚集团	https://www.liepin.com/job/1926010099.shtml	https://www.liepin.com/company/930104/	上市公司	21	UI设计
9	10	本科及以上	3-5年	面议	2020年04月28日	UI设计师-美团出行		美团点评	https://www.liepin.com/job/1925773385.shtml	https://www.liepin.com/company/2036768/	上市公司	21	UI设计
10	11	本科及以上	3-5年	面议	2020年04月28日	UI设计师-机票/火车票业务		美团点评	https://www.liepin.com/job/1925699275.shtml	https://www.liepin.com/company/2036768/	上市公司	21	UI设计
11	12	本科及以上	3-5年	面议	2020年04月28日	UI设计师-美团企业平台		美团点评	https://www.liepin.com/job/1925509211.shtml	https://www.liepin.com/company/2036768/	上市公司	21	UI设计
12	13	本科及以上	5-10年	面议	2020年04月28日	UI设计师-美团单车		美团点评	https://www.liepin.com/job/1925086145.shtml	https://www.liepin.com/company/2036768/	上市公司	21	UI设计
13	14	本科及以上	5-10年	面议	2020年04月28日	UI设计师	上海-长宁区	美团点评	https://www.liepin.com/job/1925041081.shtml	https://www.liepin.com/company/2036768/	上市公司	21	UI设计
14	15	本科及以上	3-5年	面议	2020年04月28日	用户体验部—高级UI设计师		美团点评	https://www.liepin.com/job/1921699019.shtml	https://www.liepin.com/company/2036768/	上市公司	21	UI设计
15	16	大专及以上	3-5年	9-10k·12薪	2020年04月28日	UI设计师	广州-天河区	赛意信息科技	https://www.liepin.com/job/1920615685.shtml	https://www.liepin.com/company/170110/	上市公司	21	UI设计
16	17	大专及以上	3-5年	9-10k·12薪	2020年04月28日	UI设计工程师	广州-天河区	赛意信息科技	https://www.liepin.com/job/1914454062.shtml	https://www.liepin.com/company/170110/	上市公司	21	UI设计
17	18	本科及以上	3-5年	15-30k·13薪	2020年04月28日	UI设计师 (MJ000880)	广州-大石	欢聚集团	https://www.liepin.com/job/1913930943.shtml	https://www.liepin.com/company/930104/	上市公司	21	UI设计
18	19	大专及以上	1-3年	5-13k·13薪	2020年04月28日	UI工程师 6050181	深圳	工业富联	https://www.liepin.com/job/1924941779.shtml	https://www.liepin.com/company/9580430/	上市公司	21	UI设计
19	20	本科及以上	3-5年	8-23k·13薪	2020年04月28日	UI工程师 3040181	深圳	工业富联	https://www.liepin.com/job/1924942757.shtml	https://www.liepin.com/company/9580430/	上市公司	21	UI设计
20	21	本科及以上	1-3年	8-23k·13薪	2020年04月28日	UI工程师 3040181	深圳-龙华区	工业富联	https://www.liepin.com/job/1923755643.shtml	https://www.liepin.com/company/9580430/	上市公司	21	UI设计
21	22	本科及以上	3-5年	8-23k·13薪	2020年04月28日	UI工程师 2020181	上海	工业富联	https://www.liepin.com/job/1923755315.shtml	https://www.liepin.com/company/9580430/	上市公司	21	UI设计
22	23	本科及以上	1-3年	13-20k·13薪	2020年04月28日	UI工程师 2020181	上海-松江区	工业富联	https://www.liepin.com/job/1923755171.shtml	https://www.liepin.com/company/9580430/	上市公司	21	UI设计
23	24	本科及以上	1-3年	8-20k·13薪	2020年04月28日	UI工程师 3030181	杭州	工业富联	https://www.liepin.com/job/1925788671.shtml	https://www.liepin.com/company/9580430/	上市公司	21	UI设计
24	25	本科及以上	经验不限	6-8k·12薪	2020年04月28日	UI/平面交互工程师	宁波	戴维医疗	https://www.liepin.com/job/1926965797.shtml	https://www.liepin.com/company/8582007/	上市公司	21	UI设计
25	26	大专及以上	经验不限	10-15k·12薪	2020年04月28日	UI前端工程师(职位编号：00159)	佛山	赛意信息科技	https://www.liepin.com/job/1914017154.shtml	https://www.liepin.com/company/170110/	上市公司	21	UI设计
26	27	本科及以上	3-5年	面议	2020年04月27日	29923-高级UI设计师（上海）	上海	腾讯	https://www.liepin.com/job/1927657275.shtml	https://www.liepin.com/company/7983148/	上市公司	21	UI设计
27	28	本科及以上	3-5年	面议	2020年04月27日	15616-高级UI设计师（上海）	上海	腾讯	https://www.liepin.com/job/1927497099.shtml	https://www.liepin.com/company/7983148/	上市公司	21	UI设计
