	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	tag_display	i	keyword
0	1	本科及以上	1-3年	6-8k·12薪	2020年04月28日	商业集团-南京弘阳广场-视觉设计主管	南京	弘阳集团	https://www.liepin.com/job/1927692897.shtml	https://www.liepin.com/company/729252/	上市公司	22	视觉设计
1	2	本科及以上	3-5年	15-30k·16薪	2020年04月28日	高级/资深视觉设计师	杭州	网易集团	https://www.liepin.com/job/1927659429.shtml	https://www.liepin.com/company/5964833/	上市公司	22	视觉设计
2	3	本科及以上	3-5年	14-24k·12薪	2020年04月28日	视觉设计师-输入法-合肥		科大讯飞	https://www.liepin.com/job/1927194781.shtml	https://www.liepin.com/company/4454894/	上市公司	22	视觉设计
3	4	本科及以上	3-5年	面议	2020年04月28日	视觉设计-美团买菜		美团点评	https://www.liepin.com/job/1926633233.shtml	https://www.liepin.com/company/2036768/	上市公司	22	视觉设计
4	5	学历不限	1-3年	8-15k·12薪	2020年04月28日	美术馆视觉设计	杭州-西溪	江南布衣	https://www.liepin.com/job/1926434983.shtml	https://www.liepin.com/company/8238654/	上市公司	22	视觉设计
5	6	本科及以上	经验不限	14-20k·13薪	2020年04月28日	UI设计师（视觉组） (MJ002644)	广州	欢聚集团	https://www.liepin.com/job/1926010099.shtml	https://www.liepin.com/company/930104/	上市公司	22	视觉设计
6	7	本科及以上	经验不限	15-25k·13薪	2020年04月28日	视觉设计师 (MJ002643)	广州	欢聚集团	https://www.liepin.com/job/1926010057.shtml	https://www.liepin.com/company/930104/	上市公司	22	视觉设计
7	8	本科及以上	3-5年	15-30k·13薪	2020年04月28日	高级电商视觉设计师 (MJ002482)	广州-番禺区	欢聚集团	https://www.liepin.com/job/1925093381.shtml	https://www.liepin.com/company/930104/	上市公司	22	视觉设计
8	9	统招本科	1-3年	面议	2020年04月28日	视觉设计岗		京东商城	https://www.liepin.com/job/1924888067.shtml	https://www.liepin.com/company/9747025/	上市公司	22	视觉设计
9	10	本科及以上	5-10年	面议	2020年04月28日	视觉设计师（营销）-上海	上海-长宁区	美团点评	https://www.liepin.com/job/1923923681.shtml	https://www.liepin.com/company/2036768/	上市公司	22	视觉设计
10	11	本科及以上	5-10年	面议	2020年04月28日	视觉设计师-金融		美团点评	https://www.liepin.com/job/1923885673.shtml	https://www.liepin.com/company/2036768/	上市公司	22	视觉设计
11	12	本科及以上	5-10年	面议	2020年04月28日	视觉设计师（营销）-金融		美团点评	https://www.liepin.com/job/1923885669.shtml	https://www.liepin.com/company/2036768/	上市公司	22	视觉设计
