	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	tag_display	i	keyword
0	1	学历不限	5-10年	面议	2020年04月24日	集团客户体验事业部-客户服务专家-商家服务赋能-FBT业体验设计&拓展	杭州	阿里巴巴	https://www.liepin.com/job/1927195813.shtml	https://www.liepin.com/company/1072424/	上市公司	26	服务设计
1	2	本科及以上	3-5年	15-25k·12薪	2020年04月06日	服务流程设计岗		京东商城	https://www.liepin.com/job/1925285647.shtml	https://www.liepin.com/company/9747025/	上市公司	26	服务设计
2	3	统招本科	3-5年	面议	2019年12月09日	视觉设计工程师-智能服务事业部	合肥-蜀山区	科大讯飞	https://www.liepin.com/job/1925207361.shtml	https://www.liepin.com/company/4454894/	上市公司	26	服务设计
3	4	统招本科	3-5年	面议	2019年12月09日	交互设计工程师-智能服务事业部	合肥-蜀山区	科大讯飞	https://www.liepin.com/job/1925206877.shtml	https://www.liepin.com/company/4454894/	上市公司	26	服务设计
4	5	本科及以上	5-10年	面议	2019年10月15日	31677-腾讯地图位置服务视觉设计师（北京）	北京	腾讯	https://www.liepin.com/job/1923228925.shtml	https://www.liepin.com/company/7983148/	上市公司	26	服务设计
5	6	统招本科	5-10年	面议	2019年04月09日	用户体验提升岗（手机服务产品设计/项目管理/客户服务）		京东商城	https://www.liepin.com/job/1917805487.shtml	https://www.liepin.com/company/9747025/	上市公司	26	服务设计
6	7	本科及以上	3-5年	面议	2020年04月28日	云计算音视频研发工程师		美团点评	https://www.liepin.com/job/1915833111.shtml	https://www.liepin.com/company/2036768/	上市公司	26	服务设计
7	8	本科及以上	3-5年	面议	2020年04月28日	视觉设计-美团买菜		美团点评	https://www.liepin.com/job/1926633233.shtml	https://www.liepin.com/company/2036768/	上市公司	26	服务设计
8	9	本科及以上	3-5年	10-18k·13薪	2020年04月28日	品牌设计师 (MJ002716)	广州-番禺区	欢聚集团	https://www.liepin.com/job/1926427237.shtml	https://www.liepin.com/company/930104/	上市公司	26	服务设计
9	10	本科及以上	3-5年	10-18k·13薪	2020年04月28日	平面设计师 (MJ002611)	广州-番禺区	欢聚集团	https://www.liepin.com/job/1925916949.shtml	https://www.liepin.com/company/930104/	上市公司	26	服务设计
10	11	本科及以上	3-5年	面议	2020年04月28日	单车-高级Java工程师（可视化）		美团点评	https://www.liepin.com/job/1925887323.shtml	https://www.liepin.com/company/2036768/	上市公司	26	服务设计
11	12	本科及以上	3-5年	面议	2020年04月28日	单车-高级Java工程师（策略开发）		美团点评	https://www.liepin.com/job/1925887157.shtml	https://www.liepin.com/company/2036768/	上市公司	26	服务设计
12	13	本科及以上	3-5年	面议	2020年04月28日	交互设计师-小象事业部		美团点评	https://www.liepin.com/job/1925516267.shtml	https://www.liepin.com/company/2036768/	上市公司	26	服务设计
13	14	本科及以上	5-10年	面议	2020年04月28日	用户研究-用户体验部金融服务平台		美团点评	https://www.liepin.com/job/1925040845.shtml	https://www.liepin.com/company/2036768/	上市公司	26	服务设计
14	15	统招本科	1-3年	15-20k·16薪	2020年04月28日	游戏运维工程师(SRE)	广州-天河区	网易集团	https://www.liepin.com/job/1921591667.shtml	https://www.liepin.com/company/5964833/	上市公司	26	服务设计
15	16	学历不限	3-5年	15-30k·13薪	2020年04月28日	高级后端开发工程师 (MJ000779)	广州-大石	欢聚集团	https://www.liepin.com/job/1913596776.shtml	https://www.liepin.com/company/930104/	上市公司	26	服务设计
16	17	本科及以上	3-5年	20-40k·16薪	2020年04月28日	资深研发工程师	广州	网易集团	https://www.liepin.com/job/1926577113.shtml	https://www.liepin.com/company/5964833/	上市公司	26	服务设计
17	18	大专及以上	5-10年	12-16k·13薪	2020年04月28日	系统架构师G00143	成都	通威股份	https://www.liepin.com/job/1926050287.shtml	https://www.liepin.com/company/682357/	上市公司	26	服务设计
18	19	本科及以上	5-10年	面议	2020年04月28日	资深Java开发工程师		美团点评	https://www.liepin.com/job/1925789371.shtml	https://www.liepin.com/company/2036768/	上市公司	26	服务设计
19	20	本科及以上	5-10年	面议	2020年04月28日	企平研发部-系统开发专家		美团点评	https://www.liepin.com/job/1923350831.shtml	https://www.liepin.com/company/2036768/	上市公司	26	服务设计
20	21	大专及以上	经验不限	10-15k·12薪	2020年04月28日	OSB技术顾问(职位编号：00194)	佛山	赛意信息科技	https://www.liepin.com/job/1914017158.shtml	https://www.liepin.com/company/170110/	上市公司	26	服务设计
21	22	本科及以上	3-5年	10k·12薪	2020年04月28日	IOS/Android 开发工程师--顺德	佛山-顺德区	赛意信息科技	https://www.liepin.com/job/193539985.shtml	https://www.liepin.com/company/170110/	上市公司	26	服务设计
22	23	本科及以上	3-5年	面议	2020年04月28日	服务运营-客户体验管理部		美团点评	https://www.liepin.com/job/1927841525.shtml	https://www.liepin.com/company/2036768/	上市公司	26	服务设计
23	24	本科及以上	经验不限	15-35k·16薪	2020年04月28日	游戏服务端开发工程师（大话西游免费版3D）	广州	网易集团	https://www.liepin.com/job/1927836671.shtml	https://www.liepin.com/company/5964833/	上市公司	26	服务设计
24	25	本科及以上	经验不限	面议	2020年04月28日	手游服务端开发工程师-大话事业部200	广州	网易集团	https://www.liepin.com/job/1927836145.shtml	https://www.liepin.com/company/5964833/	上市公司	26	服务设计
25	26	大专及以上	经验不限	10-15k·12薪	2020年04月28日	java开发工程师	广州	诚迈科技	https://www.liepin.com/job/1927833167.shtml	https://www.liepin.com/company/7857915/	上市公司	26	服务设计
26	27	本科及以上	5-10年	16-30k·12薪	2020年04月28日	高级Java开发工程师-消费者BG		科大讯飞	https://www.liepin.com/job/1927612105.shtml	https://www.liepin.com/company/4454894/	上市公司	26	服务设计
27	28	统招本科	3-5年	20-40k·12薪	2020年04月28日	Java开发工程师	北京	美团点评	https://www.liepin.com/job/1927409041.shtml	https://www.liepin.com/company/2036768/	上市公司	26	服务设计
28	29	本科及以上	3-5年	面议	2020年04月28日	快驴-高级JAVA开发(物流方向）		美团点评	https://www.liepin.com/job/1927257767.shtml	https://www.liepin.com/company/2036768/	上市公司	26	服务设计
