	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	tag_display	i	keyword
0	1	本科及以上	1-3年	12-18k·14薪	2020年04月24日	行政信息化专员（产品设计相关）		小米	https://www.liepin.com/job/1924503745.shtml	https://www.liepin.com/company/2174886/	上市公司	27	信息设计
1	2	统招本科	1-3年	10-20k·12薪	2020年03月20日	百度信息流产品设计师 (生态方向)	北京	Baidu	https://www.liepin.com/job/1926493323.shtml	https://www.liepin.com/company/884492/	上市公司	27	信息设计
2	3	学历不限	经验不限	10-20k·12薪	2019年10月14日	信息图表设计师（大家电团队）	北京	小米	https://www.liepin.com/job/1924116523.shtml	https://www.liepin.com/company/2174886/	上市公司	27	信息设计
3	4	统招本科	3-5年	面议	2019年06月19日	信息流广告设计师	北京	百度时代网络	https://www.liepin.com/job/1920718101.shtml	https://www.liepin.com/company/8369127/	上市公司	27	信息设计
4	5	本科及以上	经验不限	11-18k·12薪	2020年04月28日	UX交互设计师	深圳	赛意信息科技	https://www.liepin.com/job/1927793133.shtml	https://www.liepin.com/company/170110/	上市公司	27	信息设计
5	6	本科及以上	5-10年	20-35k·14薪	2020年04月28日	项目方案经理	乌鲁木齐-水磨沟区	雄帝科技	https://www.liepin.com/job/1927276255.shtml	https://www.liepin.com/company/7898856/	上市公司	27	信息设计
6	7	本科及以上	5-10年	20-35k·14薪	2020年04月28日	项目方案经理	深圳	雄帝科技	https://www.liepin.com/job/1927276253.shtml	https://www.liepin.com/company/7898856/	上市公司	27	信息设计
7	8	本科及以上	5-10年	20-30k·12薪	2020年04月28日	行业顾问（物流规划）	济南-市中区	赛意信息科技	https://www.liepin.com/job/1926284113.shtml	https://www.liepin.com/company/170110/	上市公司	27	信息设计
8	9	本科及以上	5-10年	20-30k·12薪	2020年04月28日	EDO产品经理	佛山	赛意信息科技	https://www.liepin.com/job/1924570339.shtml	https://www.liepin.com/company/170110/	上市公司	27	信息设计
9	10	本科及以上	5-10年	20-30k·12薪	2020年04月28日	MI产品经理	佛山-顺德区	赛意信息科技	https://www.liepin.com/job/1920926535.shtml	https://www.liepin.com/company/170110/	上市公司	27	信息设计
10	11	本科及以上	5-10年	20-30k·12薪	2020年04月28日	MI产品经理	佛山	赛意信息科技	https://www.liepin.com/job/1920911495.shtml	https://www.liepin.com/company/170110/	上市公司	27	信息设计
11	12	本科及以上	5-10年	20-30k·12薪	2020年04月28日	行业顾问（物流规划）	青岛	赛意信息科技	https://www.liepin.com/job/1919389789.shtml	https://www.liepin.com/company/170110/	上市公司	27	信息设计
12	13	本科及以上	5-10年	20-30k·12薪	2020年04月28日	行业顾问（物流规划）	济南	赛意信息科技	https://www.liepin.com/job/1919389787.shtml	https://www.liepin.com/company/170110/	上市公司	27	信息设计
13	14	大专及以上	1-3年	5-8k·12薪	2020年04月28日	平面设计师	深圳-龙华区	赛意信息科技	https://www.liepin.com/job/1927161863.shtml	https://www.liepin.com/company/170110/	上市公司	27	信息设计
14	15	大专及以上	经验不限	面议	2020年04月28日	信息安全主办工程师-资产	嘉兴	敏实集团	https://www.liepin.com/job/1926793735.shtml	https://www.liepin.com/company/666359/	上市公司	27	信息设计
15	16	大专及以上	经验不限	面议	2020年04月28日	信息安全运维主办工程师	嘉兴	敏实集团	https://www.liepin.com/job/1926793609.shtml	https://www.liepin.com/company/666359/	上市公司	27	信息设计
16	17	本科及以上	经验不限	4-9k·12薪	2020年04月28日	蛋白纯化工艺技术员	宜昌	东阳光药	https://www.liepin.com/job/1926465285.shtml	https://www.liepin.com/company/9108684/	上市公司	27	信息设计
17	18	统招本科	5-10年	面议	2020年04月28日	综合管理部 信息化建设经理	深圳-福田区	中国燃气控股有限公司	https://www.liepin.com/job/1926074815.shtml	https://www.liepin.com/company/8196708/	上市公司	27	信息设计
18	19	博士	经验不限	7-20k·12薪	2020年04月28日	生物药工艺研究员	宜昌	东阳光药	https://www.liepin.com/job/1926007391.shtml	https://www.liepin.com/company/9108684/	上市公司	27	信息设计
19	20	统招本科	5-10年	20-26k·12薪	2020年04月28日	建筑设计经理	长沙	江苏中南	https://www.liepin.com/job/1925938023.shtml	https://www.liepin.com/company/2331894/	上市公司	27	信息设计
20	21	本科及以上	3-5年	面议	2020年04月28日	交互设计师-美团企业平台		美团点评	https://www.liepin.com/job/1925509395.shtml	https://www.liepin.com/company/2036768/	上市公司	27	信息设计
21	22	本科及以上	5-10年	面议	2020年04月28日	交互设计-美团单车		美团点评	https://www.liepin.com/job/1925086023.shtml	https://www.liepin.com/company/2036768/	上市公司	27	信息设计
22	23	本科及以上	1-3年	6-8k·12薪	2020年04月28日	平面设计师	深圳-南山区	朗科科技	https://www.liepin.com/job/1925016187.shtml	https://www.liepin.com/company/9105535/	上市公司	27	信息设计
23	24	统招本科	5-10年	面议	2020年04月28日	智慧水务项目经理	深圳-西丽	酷派集团	https://www.liepin.com/job/1924888969.shtml	https://www.liepin.com/company/634770/	上市公司	27	信息设计
24	25	硕士及以上	1-3年	8-10k·15薪	2020年04月28日	研发高级研究助理/科学家	武汉	芝友医疗	https://www.liepin.com/job/1924439031.shtml	https://www.liepin.com/company/8238909/	上市公司	27	信息设计
25	26	本科及以上	3-5年	面议	2020年04月28日	点评App部-客户端产品经理	上海-长宁区	美团点评	https://www.liepin.com/job/1923240447.shtml	https://www.liepin.com/company/2036768/	上市公司	27	信息设计
26	27	统招本科	1-3年	13-18k·12薪	2020年04月28日	销售运营经理	深圳-南山区	深圳市广和通无线股份有限公司	https://www.liepin.com/job/1923009907.shtml	https://www.liepin.com/company/9428719/	上市公司	27	信息设计
27	28	本科及以上	3-5年	面议	2020年04月28日	用户体验部—高级UI设计师		美团点评	https://www.liepin.com/job/1921699019.shtml	https://www.liepin.com/company/2036768/	上市公司	27	信息设计
28	29	本科及以上	3-5年	面议	2020年04月28日	用户体验部—高级UE设计师		美团点评	https://www.liepin.com/job/1921698853.shtml	https://www.liepin.com/company/2036768/	上市公司	27	信息设计
29	30	本科及以上	3-5年	13-20k·12薪	2020年04月28日	UX交互设计	深圳	赛意信息科技	https://www.liepin.com/job/1920911475.shtml	https://www.liepin.com/company/170110/	上市公司	27	信息设计
30	31	本科及以上	3-5年	13-20k·12薪	2020年04月28日	ux交互设计	深圳-龙华区	赛意信息科技	https://www.liepin.com/job/1920883189.shtml	https://www.liepin.com/company/170110/	上市公司	27	信息设计
31	32	大专及以上	3-5年	9-10k·12薪	2020年04月28日	UI设计师	广州-天河区	赛意信息科技	https://www.liepin.com/job/1920615685.shtml	https://www.liepin.com/company/170110/	上市公司	27	信息设计
32	33	本科及以上	3-5年	面议	2020年04月28日	【外卖】供应链产品经理-外卖事业部		美团点评	https://www.liepin.com/job/1915436432.shtml	https://www.liepin.com/company/2036768/	上市公司	27	信息设计
33	34	大专及以上	3-5年	9-10k·12薪	2020年04月28日	UI设计工程师	广州-天河区	赛意信息科技	https://www.liepin.com/job/1914454062.shtml	https://www.liepin.com/company/170110/	上市公司	27	信息设计
34	35	本科及以上	3-5年	10-15k·12薪	2020年04月28日	电商项目前端设计师	佛山	赛意信息科技	https://www.liepin.com/job/1912164778.shtml	https://www.liepin.com/company/170110/	上市公司	27	信息设计
35	36	本科及以上	5-10年	15-30k·12薪	2020年04月28日	MES设计师	佛山	赛意信息科技	https://www.liepin.com/job/1912164760.shtml	https://www.liepin.com/company/170110/	上市公司	27	信息设计
36	37	本科及以上	5-10年	15-30k·12薪	2020年04月28日	SCADA设计师	佛山	赛意信息科技	https://www.liepin.com/job/1912164751.shtml	https://www.liepin.com/company/170110/	上市公司	27	信息设计
37	38	统招本科	经验不限	5-8k·12薪	2020年04月28日	纯化工艺研究员	宜昌	东阳光药	https://www.liepin.com/job/198918731.shtml	https://www.liepin.com/company/9108684/	上市公司	27	信息设计
38	39	学历不限	经验不限	15-20k·12薪	2020年04月28日	高级JAVA设计师	佛山	赛意信息科技	https://www.liepin.com/job/197378607.shtml	https://www.liepin.com/company/170110/	上市公司	27	信息设计
39	40	学历不限	5-10年	面议	2020年04月27日	文娱影业-视觉设计专家/体验设计专家	杭州	阿里巴巴	https://www.liepin.com/job/1927806851.shtml	https://www.liepin.com/company/1072424/	上市公司	27	信息设计
