	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	tag_display	i	keyword
0	1	本科及以上	3-5年	14-24k·12薪	2020年04月28日	视觉设计师-输入法-合肥		科大讯飞	https://www.liepin.com/job/1927194781.shtml	https://www.liepin.com/company/4454894/	2018互联网300强	2	视觉设计
1	2	本科及以上	经验不限	14-20k·13薪	2020年04月28日	UI设计师（视觉组） (MJ002644)	广州	欢聚集团	https://www.liepin.com/job/1926010099.shtml	https://www.liepin.com/company/930104/	2018互联网300强	2	视觉设计
2	3	本科及以上	经验不限	15-25k·13薪	2020年04月28日	视觉设计师 (MJ002643)	广州	欢聚集团	https://www.liepin.com/job/1926010057.shtml	https://www.liepin.com/company/930104/	2018互联网300强	2	视觉设计
3	4	本科及以上	3-5年	15-30k·13薪	2020年04月28日	高级电商视觉设计师 (MJ002482)	广州-番禺区	欢聚集团	https://www.liepin.com/job/1925093381.shtml	https://www.liepin.com/company/930104/	2018互联网300强	2	视觉设计
4	5	统招本科	1-3年	面议	2020年04月28日	视觉设计岗		京东商城	https://www.liepin.com/job/1924888067.shtml	https://www.liepin.com/company/9747025/	2018互联网300强	2	视觉设计
5	6	大专及以上	1-3年	6-8k·12薪	2020年04月28日	平面设计师	广州	新东方教育科技集团有限公司	https://www.liepin.com/job/1927003455.shtml	https://www.liepin.com/company/2485876/	2018互联网300强	2	视觉设计
6	7	本科及以上	3-5年	10-18k·13薪	2020年04月28日	平面设计师 (MJ002611)	广州-番禺区	欢聚集团	https://www.liepin.com/job/1925916949.shtml	https://www.liepin.com/company/930104/	2018互联网300强	2	视觉设计
7	8	本科及以上	3-5年	10-20k·12薪	2020年04月28日	3D美术设计师	珠海-香洲区	麒麟合盛网络技术股份有限公司	https://www.liepin.com/job/1914715591.shtml	https://www.liepin.com/company/8454950/	2018互联网300强	2	视觉设计
8	9	学历不限	5-10年	面议	2020年04月27日	文娱影业-视觉设计专家/体验设计专家	杭州	阿里巴巴	https://www.liepin.com/job/1927806851.shtml	https://www.liepin.com/company/1072424/	2018互联网300强	2	视觉设计
9	10	统招本科	3-5年	15-25k·12薪	2020年04月27日	视觉设计师岗		京东商城	https://www.liepin.com/job/1927798281.shtml	https://www.liepin.com/company/9747025/	2018互联网300强	2	视觉设计
10	11	本科及以上	1-3年	面议	2020年04月27日	WXG04-微信游戏视觉设计师	深圳	腾讯	https://www.liepin.com/job/1927757893.shtml	https://www.liepin.com/company/7983148/	2018互联网300强	2	视觉设计
