	i	size_tsv	size_htm
0	0	40	224290
1	1	40	221022
2	2	40	224164
3	3	40	224558
4	4	40	226398
5	5	40	227595
6	6	40	235266
7	7	40	224349
8	8	8	120855
9	9	40	204149
10	10	40	229687
11	11	40	226745
12	12	40	225708
13	13	40	235881
14	14	40	235078
15	15	40	236071
16	16	40	224627
17	17	40	216359
18	18	0	77280
19	19	2	103500
20	20	40	226567
21	21	40	223438
22	22	40	229340
23	23	40	228234
24	24	40	228509
25	25	40	229393
26	26	40	230668
27	27	40	236950
28	28	5	111395
29	29	40	201904
30	30	40	222574
31	31	40	218496
32	32	40	219679
33	33	40	220401
34	34	40	221353
35	35	40	222452
36	36	40	221155
37	37	40	222130
38	38	4	108036
39	39	40	199606
40	40	40	220750
41	41	40	217669
42	42	40	222711
43	43	40	222938
44	44	40	223103
45	45	40	224096
46	46	40	217714
47	47	23	168256
48	48	0	77275
49	49	0	78205
50	50	40	236926
51	51	40	233411
52	52	40	235503
53	53	40	235994
54	54	40	235920
55	55	40	236913
56	56	40	233674
57	57	40	235269
58	58	3	105734
59	59	19	153895
